S_No,PID,Session,Image,Rating,Time Spent,Timestamp
1,pid-48,sess-0,r87.png,100,9,2024-10-01 13:20:10
2,pid-48,sess-0,f353.png,100,4,2024-10-01 13:20:15
3,pid-48,sess-0,r67.png,100,4,2024-10-01 13:20:19
4,pid-48,sess-0,f343.png,34.0225563909774,4,2024-10-01 13:20:24
5,pid-48,sess-0,f333.png,50,6,2024-10-01 13:20:30
6,pid-48,sess-0,f324.png,100,7,2024-10-01 13:20:37
7,pid-48,sess-0,f270.png,99.6240601503759,7,2024-10-01 13:20:45
8,pid-48,sess-0,f268.png,74.812030075188,4,2024-10-01 13:20:49
9,pid-48,sess-0,f292.png,62.0300751879699,6,2024-10-01 13:20:56
10,pid-48,sess-0,f265.png,42.2932330827068,7,2024-10-01 13:21:03
11,pid-48,sess-0,f311.png,35.3383458646617,5,2024-10-01 13:21:09
12,pid-48,sess-0,f271.png,77.6315789473684,7,2024-10-01 13:21:16
13,pid-48,sess-0,f252.png,25,9,2024-10-01 13:21:25
14,pid-48,sess-0,f348.png,17.8571428571429,6,2024-10-01 13:21:31
15,pid-48,sess-0,f291.png,11.0902255639098,6,2024-10-01 13:21:38
16,pid-48,sess-0,f294.png,99.0601503759399,6,2024-10-01 13:21:44
17,pid-48,sess-0,f360.png,87.9699248120301,5,2024-10-01 13:21:49
18,pid-48,sess-0,f253.png,100,4,2024-10-01 13:21:54
19,pid-48,sess-0,f315.png,99.0601503759399,3,2024-10-01 13:21:58
20,pid-48,sess-0,f297.png,100,2,2024-10-01 13:22:01
21,pid-48,sess-0,f344.png,99.4360902255639,4,2024-10-01 13:22:05
22,pid-48,sess-0,r64.png,100,3,2024-10-01 13:22:09
23,pid-48,sess-0,f299.png,81.5789473684211,10,2024-10-01 13:22:19
24,pid-48,sess-0,f246.png,90.7894736842105,21,2024-10-01 13:22:41
25,pid-48,sess-0,f288.png,85.7142857142857,5,2024-10-01 13:22:47
26,pid-48,sess-0,f259.png,100,4,2024-10-01 13:22:51
27,pid-48,sess-0,f284.png,100,3,2024-10-01 13:22:54
28,pid-48,sess-0,r75.png,99.812030075188,3,2024-10-01 13:22:58
29,pid-48,sess-0,f260.png,99.812030075188,3,2024-10-01 13:23:02
30,pid-48,sess-0,f263.png,34.2105263157895,4,2024-10-01 13:23:06
31,pid-48,sess-0,f342.png,33.2706766917293,4,2024-10-01 13:23:11
32,pid-48,sess-0,f296.png,77.2556390977444,2,2024-10-01 13:23:14
33,pid-48,sess-0,r74.png,100,3,2024-10-01 13:23:17
