S_No,PID,Session,Image,Rating,Time Spent,Timestamp
1,pid-20,sess-1,f428.png,34.7744360902256,5,2024-09-01 11:53:32
2,pid-20,sess-1,f363.png,3.7593984962406,3,2024-09-01 11:53:36
3,pid-20,sess-1,f476.png,52.4436090225564,10,2024-09-01 11:53:46
4,pid-20,sess-1,r98.png,8.08270676691729,8,2024-09-01 11:53:55
5,pid-20,sess-1,f448.png,76.8796992481203,4,2024-09-01 11:53:59
6,pid-20,sess-1,f435.png,50,6,2024-09-01 11:54:06
7,pid-20,sess-1,r95.png,50,1,2024-09-01 11:54:07
8,pid-20,sess-1,f384.png,9.58646616541353,6,2024-09-01 11:54:13
9,pid-20,sess-1,r97.png,50,5,2024-09-01 11:54:19
10,pid-20,sess-1,f434.png,50,3,2024-09-01 11:54:23
11,pid-20,sess-1,f419.png,75.187969924812,3,2024-09-01 11:54:27
12,pid-20,sess-1,r104.png,21.8045112781955,4,2024-09-01 11:54:31
13,pid-20,sess-1,r108.png,50,2,2024-09-01 11:54:34
14,pid-20,sess-1,r93.png,50,2,2024-09-01 11:54:36
15,pid-20,sess-1,f373.png,37.406015037594,5,2024-09-01 11:54:41
16,pid-20,sess-1,f364.png,50,2,2024-09-01 11:54:44
17,pid-20,sess-1,f432.png,50,1,2024-09-01 11:54:45
18,pid-20,sess-1,f436.png,28.7593984962406,3,2024-09-01 11:54:49
19,pid-20,sess-1,f413.png,7.5187969924812,3,2024-09-01 11:54:52
20,pid-20,sess-1,r103.png,23.3082706766917,3,2024-09-01 11:54:55
21,pid-20,sess-1,f437.png,50,1,2024-09-01 11:54:57
22,pid-20,sess-1,r110.png,50,3,2024-09-01 11:55:01
23,pid-20,sess-1,r118.png,50,0,2024-09-01 11:55:02
24,pid-20,sess-1,f455.png,10.5263157894737,6,2024-09-01 11:55:08
25,pid-20,sess-1,f409.png,50,1,2024-09-01 11:55:10
26,pid-20,sess-1,f464.png,9.21052631578947,3,2024-09-01 11:55:14
27,pid-20,sess-1,f362.png,50,0,2024-09-01 11:55:15
28,pid-20,sess-1,f387.png,6.57894736842105,3,2024-09-01 11:55:18
29,pid-20,sess-1,f478.png,50,1,2024-09-01 11:55:20
30,pid-20,sess-1,f429.png,7.33082706766917,4,2024-09-01 11:55:24
31,pid-20,sess-1,r113.png,7.5187969924812,3,2024-09-01 11:55:28
32,pid-20,sess-1,f380.png,6.39097744360902,2,2024-09-01 11:55:31
33,pid-20,sess-1,r106.png,52.0676691729323,3,2024-09-01 11:55:34
34,pid-20,sess-1,f475.png,12.593984962406,2,2024-09-01 11:55:37
35,pid-20,sess-1,f444.png,13.5338345864662,5,2024-09-01 11:55:42
36,pid-20,sess-1,f438.png,74.6240601503759,2,2024-09-01 11:55:45
37,pid-20,sess-1,f369.png,6.57894736842105,3,2024-09-01 11:55:49
38,pid-20,sess-1,r117.png,50,1,2024-09-01 11:55:50
39,pid-20,sess-1,f443.png,50,4,2024-09-01 11:55:55
40,pid-20,sess-1,f467.png,50,3,2024-09-01 11:55:59
41,pid-20,sess-1,r119.png,50,1,2024-09-01 11:56:00
42,pid-20,sess-1,f427.png,50,0,2024-09-01 11:56:01
43,pid-20,sess-1,f453.png,50,0,2024-09-01 11:56:01
44,pid-20,sess-1,f474.png,50,0,2024-09-01 11:56:02
45,pid-20,sess-1,f446.png,0.56390977443609,3,2024-09-01 11:56:05
46,pid-20,sess-1,f422.png,14.4736842105263,2,2024-09-01 11:56:08
47,pid-20,sess-1,f389.png,16.7293233082707,2,2024-09-01 11:56:10
48,pid-20,sess-1,f402.png,12.9699248120301,2,2024-09-01 11:56:12
49,pid-20,sess-1,f361.png,11.8421052631579,2,2024-09-01 11:56:15
50,pid-20,sess-1,f471.png,13.9097744360902,2,2024-09-01 11:56:17
51,pid-20,sess-1,f366.png,50,1,2024-09-01 11:56:19
52,pid-20,sess-1,f445.png,50,1,2024-09-01 11:56:20
53,pid-20,sess-1,f418.png,8.27067669172932,4,2024-09-01 11:56:25
54,pid-20,sess-1,f441.png,50,3,2024-09-01 11:56:28
55,pid-20,sess-1,f420.png,50,1,2024-09-01 11:56:29
56,pid-20,sess-1,r120.png,50,0,2024-09-01 11:56:30
57,pid-20,sess-1,f426.png,50,1,2024-09-01 11:56:31
58,pid-20,sess-1,r111.png,50,1,2024-09-01 11:56:33
59,pid-20,sess-1,f472.png,77.0676691729323,2,2024-09-01 11:56:35
60,pid-20,sess-1,f462.png,21.9924812030075,2,2024-09-01 11:56:37
61,pid-20,sess-1,f458.png,77.6315789473684,3,2024-09-01 11:56:40
62,pid-20,sess-1,r109.png,22.7443609022556,2,2024-09-01 11:56:43
63,pid-20,sess-1,f399.png,3.38345864661654,2,2024-09-01 11:56:46
64,pid-20,sess-1,f416.png,50,5,2024-09-01 11:56:51
65,pid-20,sess-1,f391.png,4.32330827067669,2,2024-09-01 11:56:54
66,pid-20,sess-1,r94.png,4.88721804511278,2,2024-09-01 11:56:56
67,pid-20,sess-1,f456.png,5.6390977443609,2,2024-09-01 11:56:59
68,pid-20,sess-1,f450.png,72.3684210526316,9,2024-09-01 11:57:08
69,pid-20,sess-1,r116.png,50,2,2024-09-01 11:57:10
70,pid-20,sess-1,f417.png,45.3007518796992,3,2024-09-01 11:57:14
71,pid-20,sess-1,f394.png,50,2,2024-09-01 11:57:16
72,pid-20,sess-1,f457.png,14.6616541353383,2,2024-09-01 11:57:19
73,pid-20,sess-1,f379.png,9.58646616541353,2,2024-09-01 11:57:22
74,pid-20,sess-1,f439.png,14.8496240601504,2,2024-09-01 11:57:24
75,pid-20,sess-1,f468.png,50,3,2024-09-01 11:57:27
76,pid-20,sess-1,f433.png,11.4661654135338,2,2024-09-01 11:57:30
77,pid-20,sess-1,f383.png,14.6616541353383,2,2024-09-01 11:57:33
78,pid-20,sess-1,f372.png,50,1,2024-09-01 11:57:34
79,pid-20,sess-1,f477.png,7.89473684210526,2,2024-09-01 11:57:37
80,pid-20,sess-1,f381.png,6.57894736842105,2,2024-09-01 11:57:40
81,pid-20,sess-1,f423.png,30.2631578947368,3,2024-09-01 11:57:43
82,pid-20,sess-1,f469.png,80.8270676691729,2,2024-09-01 11:57:46
83,pid-20,sess-1,f403.png,79.1353383458647,2,2024-09-01 11:57:49
84,pid-20,sess-1,f377.png,14.0977443609023,4,2024-09-01 11:57:53
85,pid-20,sess-1,f385.png,8.08270676691729,2,2024-09-01 11:57:55
86,pid-20,sess-1,f374.png,18.2330827067669,3,2024-09-01 11:57:59
87,pid-20,sess-1,f425.png,12.218045112782,1,2024-09-01 11:58:00
88,pid-20,sess-1,f412.png,9.77443609022556,4,2024-09-01 11:58:05
89,pid-20,sess-1,f451.png,6.20300751879699,2,2024-09-01 11:58:07
90,pid-20,sess-1,f378.png,9.3984962406015,2,2024-09-01 11:58:09
91,pid-20,sess-1,f401.png,7.33082706766917,3,2024-09-01 11:58:12
92,pid-20,sess-1,f447.png,9.96240601503759,2,2024-09-01 11:58:15
93,pid-20,sess-1,r114.png,50,1,2024-09-01 11:58:16
94,pid-20,sess-1,f376.png,50,1,2024-09-01 11:58:17
95,pid-20,sess-1,f390.png,50,0,2024-09-01 11:58:18
96,pid-20,sess-1,f408.png,24.812030075188,2,2024-09-01 11:58:21
97,pid-20,sess-1,r115.png,50,1,2024-09-01 11:58:23
98,pid-20,sess-1,f459.png,30.0751879699248,2,2024-09-01 11:58:26
99,pid-20,sess-1,f473.png,50,1,2024-09-01 11:58:27
100,pid-20,sess-1,f421.png,24.4360902255639,2,2024-09-01 11:58:30
101,pid-20,sess-1,f407.png,50,1,2024-09-01 11:58:31
102,pid-20,sess-1,f424.png,50,0,2024-09-01 11:58:32
103,pid-20,sess-1,f393.png,50,1,2024-09-01 11:58:33
104,pid-20,sess-1,f405.png,50,1,2024-09-01 11:58:35
105,pid-20,sess-1,r92.png,50,1,2024-09-01 11:58:36
106,pid-20,sess-1,f365.png,50,1,2024-09-01 11:58:37
107,pid-20,sess-1,f386.png,50,3,2024-09-01 11:58:41
108,pid-20,sess-1,f368.png,50,0,2024-09-01 11:58:42
109,pid-20,sess-1,f400.png,9.58646616541353,4,2024-09-01 11:58:46
110,pid-20,sess-1,f414.png,50,3,2024-09-01 11:58:49
111,pid-20,sess-1,f406.png,50,0,2024-09-01 11:58:50
112,pid-20,sess-1,f398.png,16.3533834586466,5,2024-09-01 11:58:55
113,pid-20,sess-1,f415.png,50,1,2024-09-01 11:58:57
114,pid-20,sess-1,r100.png,50,1,2024-09-01 11:58:59
115,pid-20,sess-1,f466.png,13.1578947368421,2,2024-09-01 11:59:02
116,pid-20,sess-1,r99.png,50,2,2024-09-01 11:59:04
117,pid-20,sess-1,f479.png,50,2,2024-09-01 11:59:07
118,pid-20,sess-1,f461.png,50,0,2024-09-01 11:59:08
119,pid-20,sess-1,f449.png,13.9097744360902,3,2024-09-01 11:59:12
120,pid-20,sess-1,f460.png,50,1,2024-09-01 11:59:13
121,pid-20,sess-1,f388.png,50,5,2024-09-01 11:59:18
