S_No,PID,Session,Image,Rating,Time Spent,Timestamp
1,pid-09,sess-1,f193.png,35.5263157894737,25,2024-09-04 17:13:44
2,pid-09,sess-1,f168.png,15.2255639097744,4,2024-09-04 17:13:49
3,pid-09,sess-1,f146.png,50,5,2024-09-04 17:13:55
4,pid-09,sess-1,f208.png,41.5413533834586,4,2024-09-04 17:13:59
5,pid-09,sess-1,f125.png,25,3,2024-09-04 17:14:03
6,pid-09,sess-1,f184.png,50,3,2024-09-04 17:14:07
7,pid-09,sess-1,r50.png,80.0751879699248,3,2024-09-04 17:14:11
8,pid-09,sess-1,f239.png,50,3,2024-09-04 17:14:14
9,pid-09,sess-1,r52.png,50,4,2024-09-04 17:14:19
10,pid-09,sess-1,f158.png,76.6917293233083,4,2024-09-04 17:14:23
11,pid-09,sess-1,f190.png,50,8,2024-09-04 17:14:31
12,pid-09,sess-1,f229.png,38.9097744360902,5,2024-09-04 17:14:37
13,pid-09,sess-1,f227.png,39.8496240601504,7,2024-09-04 17:14:44
14,pid-09,sess-1,f126.png,50,2,2024-09-04 17:14:47
15,pid-09,sess-1,f220.png,50,1,2024-09-04 17:14:49
16,pid-09,sess-1,f165.png,37.0300751879699,3,2024-09-04 17:14:53
17,pid-09,sess-1,r47.png,76.5037593984962,4,2024-09-04 17:14:57
18,pid-09,sess-1,f202.png,75.7518796992481,4,2024-09-04 17:15:02
19,pid-09,sess-1,f211.png,74.812030075188,8,2024-09-04 17:15:10
20,pid-09,sess-1,f195.png,86.8421052631579,4,2024-09-04 17:15:15
21,pid-09,sess-1,f175.png,88.7218045112782,5,2024-09-04 17:15:21
22,pid-09,sess-1,f185.png,50,3,2024-09-04 17:15:24
23,pid-09,sess-1,r46.png,99.4360902255639,4,2024-09-04 17:15:28
24,pid-09,sess-1,f142.png,31.5789473684211,3,2024-09-04 17:15:32
25,pid-09,sess-1,f230.png,73.6842105263158,4,2024-09-04 17:15:36
26,pid-09,sess-1,f174.png,50,4,2024-09-04 17:15:41
27,pid-09,sess-1,f187.png,41.7293233082707,5,2024-09-04 17:15:46
28,pid-09,sess-1,f128.png,18.609022556391,3,2024-09-04 17:15:49
29,pid-09,sess-1,r53.png,90.7894736842105,3,2024-09-04 17:15:53
30,pid-09,sess-1,f203.png,50,6,2024-09-04 17:15:59
31,pid-09,sess-1,f218.png,100,3,2024-09-04 17:16:03
32,pid-09,sess-1,r44.png,39.0977443609023,4,2024-09-04 17:16:07
33,pid-09,sess-1,f164.png,75.5639097744361,5,2024-09-04 17:16:13
34,pid-09,sess-1,f194.png,100,3,2024-09-04 17:16:17
35,pid-09,sess-1,f123.png,23.4962406015038,4,2024-09-04 17:16:21
36,pid-09,sess-1,f188.png,50,2,2024-09-04 17:16:23
37,pid-09,sess-1,f197.png,88.7218045112782,3,2024-09-04 17:16:27
38,pid-09,sess-1,f148.png,41.1654135338346,3,2024-09-04 17:16:30
39,pid-09,sess-1,f151.png,53.7593984962406,11,2024-09-04 17:16:42
40,pid-09,sess-1,f141.png,19.7368421052632,6,2024-09-04 17:16:49
41,pid-09,sess-1,f199.png,41.5413533834586,3,2024-09-04 17:16:53
42,pid-09,sess-1,f143.png,40.9774436090226,3,2024-09-04 17:16:56
43,pid-09,sess-1,f172.png,80.8270676691729,2,2024-09-04 17:16:59
44,pid-09,sess-1,f231.png,50,2,2024-09-04 17:17:01
45,pid-09,sess-1,f214.png,75.9398496240602,4,2024-09-04 17:17:06
46,pid-09,sess-1,r49.png,35.7142857142857,3,2024-09-04 17:17:09
47,pid-09,sess-1,r56.png,71.2406015037594,4,2024-09-04 17:17:14
48,pid-09,sess-1,r35.png,50,3,2024-09-04 17:17:17
49,pid-09,sess-1,f216.png,100,4,2024-09-04 17:17:21
50,pid-09,sess-1,f232.png,50,2,2024-09-04 17:17:24
51,pid-09,sess-1,f221.png,0.18796992481203,4,2024-09-04 17:17:29
52,pid-09,sess-1,f183.png,50,3,2024-09-04 17:17:32
53,pid-09,sess-1,r51.png,9.58646616541353,3,2024-09-04 17:17:36
54,pid-09,sess-1,r36.png,100,4,2024-09-04 17:17:40
55,pid-09,sess-1,f157.png,100,5,2024-09-04 17:17:45
56,pid-09,sess-1,f166.png,94.1729323308271,3,2024-09-04 17:17:49
57,pid-09,sess-1,f121.png,87.593984962406,3,2024-09-04 17:17:52
58,pid-09,sess-1,f179.png,48.4962406015038,5,2024-09-04 17:17:58
59,pid-09,sess-1,f189.png,50,2,2024-09-04 17:18:01
60,pid-09,sess-1,f228.png,87.218045112782,3,2024-09-04 17:18:04
61,pid-09,sess-1,r32.png,77.6315789473684,2,2024-09-04 17:18:07
62,pid-09,sess-1,r59.png,50,3,2024-09-04 17:18:11
63,pid-09,sess-1,f226.png,50,4,2024-09-04 17:18:15
