S_No,PID,Session,Image,Rating,Time Spent,Timestamp
1,pid-40,sess-0,f327.png,50,24,2024-09-06 18:22:03
2,pid-40,sess-0,f341.png,1.50375939849624,5,2024-09-06 18:22:08
3,pid-40,sess-0,r76.png,50,22,2024-09-06 18:22:31
4,pid-40,sess-0,f263.png,25.3759398496241,7,2024-09-06 18:22:38
5,pid-40,sess-0,f350.png,50,8,2024-09-06 18:22:47
6,pid-40,sess-0,f271.png,24.812030075188,7,2024-09-06 18:22:54
7,pid-40,sess-0,f357.png,50,4,2024-09-06 18:22:58
8,pid-40,sess-0,f328.png,28.1954887218045,16,2024-09-06 18:23:15
9,pid-40,sess-0,f244.png,50,7,2024-09-06 18:23:23
10,pid-40,sess-0,f292.png,26.3157894736842,5,2024-09-06 18:23:29
11,pid-40,sess-0,f252.png,25.9398496240602,5,2024-09-06 18:23:34
12,pid-40,sess-0,f247.png,72.9323308270677,14,2024-09-06 18:23:48
13,pid-40,sess-0,f358.png,71.4285714285714,8,2024-09-06 18:23:56
14,pid-40,sess-0,r72.png,50,4,2024-09-06 18:24:01
15,pid-40,sess-0,f272.png,74.2481203007519,11,2024-09-06 18:24:13
16,pid-40,sess-0,f245.png,50,6,2024-09-06 18:24:20
17,pid-40,sess-0,f304.png,25.5639097744361,4,2024-09-06 18:24:24
18,pid-40,sess-0,f286.png,50,11,2024-09-06 18:24:35
19,pid-40,sess-0,r90.png,50,8,2024-09-06 18:24:45
20,pid-40,sess-0,f329.png,71.6165413533835,6,2024-09-06 18:24:51
21,pid-40,sess-0,f305.png,0.37593984962406,4,2024-09-06 18:24:56
22,pid-40,sess-0,f264.png,46.8045112781955,22,2024-09-06 18:25:18
23,pid-40,sess-0,f301.png,50,4,2024-09-06 18:25:23
24,pid-40,sess-0,f284.png,50,4,2024-09-06 18:25:27
25,pid-40,sess-0,f346.png,50,7,2024-09-06 18:25:35
26,pid-40,sess-0,f355.png,24.0601503759398,11,2024-09-06 18:25:47
27,pid-40,sess-0,r67.png,43.0451127819549,22,2024-09-06 18:26:09
28,pid-40,sess-0,f255.png,50,7,2024-09-06 18:26:17
29,pid-40,sess-0,f338.png,0.56390977443609,2,2024-09-06 18:26:20
30,pid-40,sess-0,f295.png,74.2481203007519,10,2024-09-06 18:26:31
31,pid-40,sess-0,f337.png,49.0601503759399,17,2024-09-06 18:26:49
32,pid-40,sess-0,f269.png,25.9398496240602,14,2024-09-06 18:27:03
33,pid-40,sess-0,f359.png,72.9323308270677,8,2024-09-06 18:27:11
34,pid-40,sess-0,r87.png,50,10,2024-09-06 18:27:22
35,pid-40,sess-0,f336.png,50,8,2024-09-06 18:27:30
36,pid-40,sess-0,f289.png,38.5338345864662,10,2024-09-06 18:27:40
37,pid-40,sess-0,f258.png,50,4,2024-09-06 18:27:45
38,pid-40,sess-0,f320.png,39.2857142857143,8,2024-09-06 18:27:53
39,pid-40,sess-0,f246.png,50,3,2024-09-06 18:27:56
40,pid-40,sess-0,f345.png,50,4,2024-09-06 18:28:01
41,pid-40,sess-0,f268.png,38.5338345864662,7,2024-09-06 18:28:09
42,pid-40,sess-0,f279.png,50,5,2024-09-06 18:28:15
43,pid-40,sess-0,r71.png,50,3,2024-09-06 18:28:18
44,pid-40,sess-0,f316.png,41.3533834586466,9,2024-09-06 18:28:28
45,pid-40,sess-0,r88.png,50,5,2024-09-06 18:28:34
46,pid-40,sess-0,r69.png,50,1,2024-09-06 18:28:35
47,pid-40,sess-0,f259.png,35.5263157894737,13,2024-09-06 18:28:48
48,pid-40,sess-0,f312.png,0,3,2024-09-06 18:28:52
49,pid-40,sess-0,f257.png,50,4,2024-09-06 18:28:56
50,pid-40,sess-0,f340.png,50,5,2024-09-06 18:29:01
51,pid-40,sess-0,r70.png,50,2,2024-09-06 18:29:04
52,pid-40,sess-0,f274.png,26.5037593984962,17,2024-09-06 18:29:21
53,pid-40,sess-0,f354.png,0,3,2024-09-06 18:29:25
54,pid-40,sess-0,f285.png,50,5,2024-09-06 18:29:30
55,pid-40,sess-0,f248.png,24.0601503759398,3,2024-09-06 18:29:34
56,pid-40,sess-0,r81.png,25.7518796992481,8,2024-09-06 18:29:43
57,pid-40,sess-0,f324.png,50,7,2024-09-06 18:29:50
58,pid-40,sess-0,f310.png,50,3,2024-09-06 18:29:54
59,pid-40,sess-0,f241.png,50,11,2024-09-06 18:30:06
60,pid-40,sess-0,f333.png,23.1203007518797,8,2024-09-06 18:30:14
61,pid-40,sess-0,f291.png,24.6240601503759,4,2024-09-06 18:30:20
62,pid-40,sess-0,f293.png,50,6,2024-09-06 18:30:26
63,pid-40,sess-0,r78.png,50,1,2024-09-06 18:30:28
64,pid-40,sess-0,f280.png,0,8,2024-09-06 18:30:36
65,pid-40,sess-0,f243.png,50,8,2024-09-06 18:30:44
66,pid-40,sess-0,f303.png,50,3,2024-09-06 18:30:47
67,pid-40,sess-0,f319.png,50,7,2024-09-06 18:30:55
68,pid-40,sess-0,r86.png,76.6917293233083,8,2024-09-06 18:31:03
69,pid-40,sess-0,f297.png,74.4360902255639,8,2024-09-06 18:31:11
70,pid-40,sess-0,f260.png,50,5,2024-09-06 18:31:16
71,pid-40,sess-0,f339.png,50,3,2024-09-06 18:31:20
72,pid-40,sess-0,r79.png,50,6,2024-09-06 18:31:26
73,pid-40,sess-0,f347.png,35.9022556390977,9,2024-09-06 18:31:36
74,pid-40,sess-0,f318.png,23.8721804511278,2,2024-09-06 18:31:39
75,pid-40,sess-0,f321.png,25.3759398496241,4,2024-09-06 18:31:44
76,pid-40,sess-0,f277.png,50,1,2024-09-06 18:31:45
77,pid-40,sess-0,r83.png,50,4,2024-09-06 18:31:50
78,pid-40,sess-0,f261.png,23.3082706766917,3,2024-09-06 18:31:54
79,pid-40,sess-0,f242.png,50.9398496240602,8,2024-09-06 18:32:02
80,pid-40,sess-0,f348.png,0.18796992481203,6,2024-09-06 18:32:08
81,pid-40,sess-0,f294.png,50,0,2024-09-06 18:32:09
82,pid-40,sess-0,f299.png,50,3,2024-09-06 18:32:13
83,pid-40,sess-0,f290.png,50,2,2024-09-06 18:32:16
84,pid-40,sess-0,f325.png,50,3,2024-09-06 18:32:19
85,pid-40,sess-0,f332.png,50,5,2024-09-06 18:32:24
86,pid-40,sess-0,f342.png,0.56390977443609,4,2024-09-06 18:32:29
87,pid-40,sess-0,f349.png,50,3,2024-09-06 18:32:32
88,pid-40,sess-0,f283.png,47.1804511278196,11,2024-09-06 18:32:44
89,pid-40,sess-0,r64.png,23.3082706766917,3,2024-09-06 18:32:47
90,pid-40,sess-0,f360.png,50,6,2024-09-06 18:32:54
91,pid-40,sess-0,r80.png,50,1,2024-09-06 18:32:56
92,pid-40,sess-0,f249.png,50,2,2024-09-06 18:32:58
93,pid-40,sess-0,f288.png,26.8796992481203,12,2024-09-06 18:33:10
94,pid-40,sess-0,f317.png,0,4,2024-09-06 18:33:15
95,pid-40,sess-0,r63.png,50,2,2024-09-06 18:33:17
96,pid-40,sess-0,f251.png,50,1,2024-09-06 18:33:18
97,pid-40,sess-0,f302.png,26.5037593984962,5,2024-09-06 18:33:24
98,pid-40,sess-0,f344.png,50,4,2024-09-06 18:33:29
99,pid-40,sess-0,f315.png,50,1,2024-09-06 18:33:30
100,pid-40,sess-0,f309.png,37.218045112782,6,2024-09-06 18:33:37
101,pid-40,sess-0,r66.png,50,3,2024-09-06 18:33:40
102,pid-40,sess-0,f300.png,50,6,2024-09-06 18:33:47
103,pid-40,sess-0,f253.png,50,2,2024-09-06 18:33:50
104,pid-40,sess-0,f296.png,50,3,2024-09-06 18:33:54
105,pid-40,sess-0,f306.png,50,1,2024-09-06 18:33:55
106,pid-40,sess-0,f256.png,50,1,2024-09-06 18:33:56
107,pid-40,sess-0,r75.png,50,1,2024-09-06 18:33:58
108,pid-40,sess-0,f307.png,50,2,2024-09-06 18:34:00
109,pid-40,sess-0,f353.png,73.6842105263158,6,2024-09-06 18:34:07
110,pid-40,sess-0,f313.png,75.5639097744361,5,2024-09-06 18:34:12
111,pid-40,sess-0,f262.png,48.8721804511278,16,2024-09-06 18:34:29
112,pid-40,sess-0,f331.png,50,4,2024-09-06 18:34:33
113,pid-40,sess-0,r73.png,37.593984962406,5,2024-09-06 18:34:38
114,pid-40,sess-0,r74.png,50,6,2024-09-06 18:34:45
115,pid-40,sess-0,f273.png,37.593984962406,4,2024-09-06 18:34:49
116,pid-40,sess-0,f267.png,25,6,2024-09-06 18:34:56
117,pid-40,sess-0,f326.png,38.3458646616541,12,2024-09-06 18:35:08
118,pid-40,sess-0,r77.png,50,2,2024-09-06 18:35:10
119,pid-40,sess-0,f298.png,50,4,2024-09-06 18:35:15
120,pid-40,sess-0,r65.png,50,2,2024-09-06 18:35:17
121,pid-40,sess-0,f322.png,24.4360902255639,5,2024-09-06 18:35:23
122,pid-40,sess-0,f266.png,35.3383458646617,15,2024-09-06 18:35:38
123,pid-40,sess-0,r89.png,50,1,2024-09-06 18:35:39
124,pid-40,sess-0,f343.png,0.18796992481203,3,2024-09-06 18:35:43
125,pid-40,sess-0,f254.png,50,3,2024-09-06 18:35:47
126,pid-40,sess-0,r62.png,50,1,2024-09-06 18:35:48
127,pid-40,sess-0,r68.png,50,1,2024-09-06 18:35:50
128,pid-40,sess-0,f270.png,50,0,2024-09-06 18:35:50
129,pid-40,sess-0,f335.png,50,2,2024-09-06 18:35:53
130,pid-40,sess-0,f275.png,50,2,2024-09-06 18:35:56
131,pid-40,sess-0,f314.png,50,2,2024-09-06 18:35:59
